cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small,chl_small,pe
realtime,2015-03-23T03-21-16+00-00,2015-03-23T03:21:16+00:00,4006.2984,13321.0284,0.00150400664339055,2471.3437336,180.117,synecho,221,19.8064166202056,65.0072070348366,28.6927877227247,25.327620408199
realtime,2015-03-23T03-21-16+00-00,2015-03-23T03:21:16+00:00,4006.2984,13321.0284,0.00150400664339055,2471.3437336,180.117,unknown,383,34.325147355379,227.972351431742,23.8980783123197,5.95581803434571
realtime,2015-03-23T03-24-17+00-00,2015-03-23T03:24:17+00:00,4005.9266,13321.6084,0.00155775098900039,2471.3437336,180.06,picoeuk,275,23.8032089033758,814.344998860514,809.829747261604,3.14608031171952
realtime,2015-03-23T03-24-17+00-00,2015-03-23T03:24:17+00:00,4005.9266,13321.6084,0.00155775098900039,2471.3437336,180.06,prochloro,3204,277.32902300515,9.37766810408633,8.25963243175101,1.50497745981507
realtime,2015-03-23T03-24-17+00-00,2015-03-23T03:24:17+00:00,4005.9266,13321.6084,0.00155775098900039,2471.3437336,180.06,synecho,197,17.0517532871456,66.1414722226972,28.0451155095226,24.0777747953852
realtime,2015-03-23T03-24-17+00-00,2015-03-23T03:24:17+00:00,4005.9266,13321.6084,0.00155775098900039,2471.3437336,180.06,unknown,457,39.5566053412464,226.261891471166,22.7773943507858,6.04031291429781
realtime,2015-03-23T03-27-17+00-00,2015-03-23T03:27:17+00:00,4005.5469,13322.1858,0.00153662085933749,2471.3437336,180.027,picoeuk,312,27.382198914802,813.973221899738,826.142962356165,6.43177017383148
realtime,2015-03-23T03-27-17+00-00,2015-03-23T03:27:17+00:00,4005.5469,13322.1858,0.00153662085933749,2471.3437336,180.027,prochloro,3177,278.824506257455,9.37904956514284,8.66920970280698,1.49001578688394
realtime,2015-03-23T03-27-17+00-00,2015-03-23T03:27:17+00:00,4005.5469,13322.1858,0.00153662085933749,2471.3437336,180.027,synecho,206,18.0792723604141,62.7582005462855,29.1027175862009,25.6585623243047
realtime,2015-03-23T03-27-17+00-00,2015-03-23T03:27:17+00:00,4005.5469,13322.1858,0.00153662085933749,2471.3437336,180.027,unknown,402,35.2809101402256,287.229396198686,24.9165227938484,6.15332956285185
realtime,2015-03-23T03-30-17+00-00,2015-03-23T03:30:17+00:00,4005.1248,13322.7719,0.00157418840510214,2471.3437336,180.03,picoeuk,276,23.6442524193842,698.663226769113,683.692904732165,3.54611217379653
